# LEADERSHIP TRADE BAR DATA
# trade_id     : 460
# symbol       : TMO
# entry_date   : 2025-10-02
# exit_date    : 2025-11-17
# entry_price  : 525.71
# exit_price   : 571.17
# profit_pct   : 0.0864735
# realized_pnl : NULL
# shares       : 2
# exit_reason  : Stop Loss (Original Stop)
# bar_window   : 30d before entry → 30d after exit
# total_bars   : 76
#
date,open,high,low,close,volume
2025-09-02,489.31,492.7,479.03,487.53,1303859.0
2025-09-03,487.03,489.54,481.53,484.55,1219059.0
2025-09-04,482.08,490.26,471.61,489.49,1404250.0
2025-09-05,490.0,502.0,489.12,492.6,1442586.0
2025-09-08,487.77,490.065,480.95,487.65,2223666.0
2025-09-09,486.48,489.99,481.52,482.41,1505981.0
2025-09-10,481.12,485.8199,475.635,476.54,1442740.0
2025-09-11,480.575,492.0,480.3575,491.41,1509910.0
2025-09-12,488.61,491.26,479.46,479.46,1543243.0
2025-09-15,478.78,482.94,470.74,474.46,1663510.0
2025-09-16,470.27,484.59,470.05,480.74,1799910.0
2025-09-17,482.96,486.57,469.14,472.64,1947751.0
2025-09-18,477.15,482.255,473.03,481.1,1576449.0
2025-09-19,483.29,487.99,478.0201,479.58,4244050.0
2025-09-22,475.48,481.735,470.74,474.99,2352303.0
2025-09-23,471.12,475.57,467.28,469.75,3244956.0
2025-09-24,467.9,471.33,462.93,468.0,2409608.0
2025-09-25,467.01,468.76,457.405,459.22,3229323.0
2025-09-26,461.06,465.74,460.31,464.24,1886379.0
2025-09-29,466.84,467.35,456.67,462.04,3018351.0
2025-09-30,464.12,486.25,460.0,485.02,4363938.0
2025-10-01,486.995,534.9,486.94,530.73,6092757.0
2025-10-02,525.71,539.9,523.0001,524.96,3262000.0
2025-10-03,525.36,545.44,525.36,543.32,3048558.0
2025-10-06,540.0,545.86,536.4598,543.95,2560057.0
2025-10-07,542.68,549.44,538.34,539.17,1870792.0
2025-10-08,538.13,549.2593,535.6301,536.19,2153227.0
2025-10-09,533.74,537.565,528.835,534.68,1830979.0
2025-10-10,534.83,537.93,523.65,524.8,1415942.0
2025-10-13,527.53,530.825,523.89,524.58,1686657.0
2025-10-14,521.74,529.85,519.45,525.83,1600989.0
2025-10-15,524.91,532.4099,522.42,527.87,1430396.0
2025-10-16,544.36,544.6,534.163,536.78,2115988.0
2025-10-17,534.16,540.87,532.0,538.92,2010235.0
2025-10-20,541.0,550.46,540.0,543.84,1665210.0
2025-10-21,559.075,568.39,553.74,557.99,3932375.0
2025-10-22,555.5,571.29,550.88,567.2,3461218.0
2025-10-23,567.9,578.24,562.3795,571.91,1979317.0
2025-10-24,574.15,575.82,569.79,572.5,1655698.0
2025-10-27,572.09,572.665,561.04,563.78,1563612.0
2025-10-28,564.13,565.65,555.57,557.63,992737.0
2025-10-29,558.31,571.565,555.06,558.31,1953740.0
2025-10-30,551.6,565.63,551.6,556.22,1315132.0
2025-10-31,551.92,569.92,551.87,567.39,1872224.0
2025-11-03,563.66,565.7,554.2,564.88,1835007.0
2025-11-04,558.41,569.3,557.0005,565.24,1636085.0
2025-11-05,560.35,570.16,554.2,567.64,1682938.0
2025-11-06,562.87,570.86,559.345,565.98,1277875.0
2025-11-07,566.87,577.35,563.3001,572.41,2264009.0
2025-11-10,572.37,583.66,568.3574,576.35,1380264.0
2025-11-11,575.95,587.59,574.82,586.49,1377699.0
2025-11-12,584.29,591.17,582.0,588.02,1504274.0
2025-11-13,586.1,598.515,578.25,580.13,2745429.0
2025-11-14,578.185,584.33,573.0,578.71,1317958.0
2025-11-17,575.65,579.79,566.59,567.16,1624479.0
2025-11-18,562.85,578.22,556.46,576.03,1915986.0
2025-11-19,574.62,574.62,567.21,573.79,1247990.0
2025-11-20,573.35,580.45,568.46,572.74,1167866.0
2025-11-21,573.0,589.85,569.55,587.48,1933565.0
2025-11-24,586.45,587.92,579.1,586.07,1803097.0
2025-11-25,582.2,602.32,581.8,597.78,1803561.0
2025-11-26,593.43,596.5499,587.185,593.25,2060021.0
2025-11-28,589.19,594.0,587.95,590.83,745957.0
2025-12-01,594.85,597.68,582.75,585.15,1754359.0
2025-12-02,581.94,584.45,577.96,580.37,1918180.0
2025-12-03,581.29,588.11,580.01,580.45,1186616.0
2025-12-04,579.03,580.45,560.16,575.24,1961858.0
2025-12-05,578.0,579.09,569.62,572.77,1873706.0
2025-12-08,570.8,574.535,566.01,568.21,1412168.0
2025-12-09,574.0,575.245,561.91,563.07,1416016.0
2025-12-10,563.0,574.46,563.0,573.81,1275600.0
2025-12-11,576.62,579.08,570.844,578.9,1226447.0
2025-12-12,577.85,579.06,570.19,572.28,1576512.0
2025-12-15,574.23,576.34,565.67,575.91,1702290.0
2025-12-16,570.84,574.855,561.0,570.16,2015283.0
2025-12-17,567.54,572.99,561.49,562.56,2301754.0
