# LEADERSHIP TRADE BAR DATA
# trade_id     : 22957
# symbol       : CSCO
# entry_date   : 2026-04-21
# exit_date    : 2026-06-01
# entry_price  : 88.37
# exit_price   : 119.91
# profit_pct   : 0.356908
# realized_pnl : 378.48
# shares       : 12
# exit_reason  : Exit Signal
# bar_window   : 30d before entry → 30d after exit
# total_bars   : 57
#
date,open,high,low,close,volume
2026-03-23,78.64,79.51,78.42,78.82,20072230.66415
2026-03-24,78.37,80.935,78.13,80.86,23527997.005348
2026-03-25,81.0,82.68,80.89,81.83,23146025.336466
2026-03-26,82.07,83.11,81.81,82.16,26649615.35275
2026-03-27,81.975,82.12,79.4,79.92,20557432.83735
2026-03-30,79.86,80.39,76.59,77.04,24306314.3499
2026-03-31,77.89,78.19,76.31,77.59,25105709.790917
2026-04-01,78.0,79.12,77.81,77.93,21309015.660634
2026-04-02,76.73,79.1,76.54,79.02,12634890.840049
2026-04-06,79.12,80.48,79.02,80.435,16388596.861583
2026-04-07,80.02,80.89,79.42,80.68,13428102.699484
2026-04-08,82.305,83.74,81.5,83.7,19621913.883739
2026-04-09,83.85,84.77,82.15,83.17,17609872.637499
2026-04-10,83.89,84.56,81.62,82.22,17570570.920029
2026-04-13,82.035,82.39,81.25,82.35,19994652.08179
2026-04-14,82.03,82.65,81.36,82.61,17856812.394617
2026-04-15,82.53,82.66,80.875,82.36,15066393.25492
2026-04-16,82.08,84.53,82.0,84.5,14608997.331994
2026-04-17,85.19,86.375,84.6,86.25,20321934.918755
2026-04-20,86.195,88.35,85.8582,87.71,16691396.750923
2026-04-21,87.92,89.8,87.16,89.7,18645678.084395
2026-04-22,89.925,90.45,89.48,89.8,16986137.586338
2026-04-23,89.32,90.0,88.27,88.59,21156673.382801
2026-04-24,87.405,89.73,87.405,89.01,18966474.729081
2026-04-27,89.28,89.5,87.64,88.26,13803322.113463
2026-04-28,88.55,88.55,85.775,86.86,16887291.45711
2026-04-29,87.32,89.63,86.835,89.57,15427939.703579
2026-04-30,89.815,91.67,89.32,91.5,21686745.456835
2026-05-01,91.75,92.92,91.16,91.85,16095733.513379
2026-05-04,91.85,93.1,91.19,92.63,12684762.982418
2026-05-05,93.82,94.715,93.38,94.3,13456167.162108
2026-05-06,92.64,93.42,91.0,91.64,27026570.542815
2026-05-07,92.0,92.73,91.61,92.16,17062273.445797
2026-05-08,93.3304,97.02,93.14,96.57,24652516.008226
2026-05-11,96.35,98.83,95.325,98.72,31852518.848208
2026-05-12,99.52,99.93,97.77,99.29,28810969.188922
2026-05-13,99.4,102.01,99.29,101.87,45241625.476023
2026-05-14,117.55,119.36,113.97,115.53,70932274.593816
2026-05-15,114.61,118.83,114.0,118.21,38519632.737928
2026-05-18,118.8,119.39,116.03,118.88,24763515.983917
2026-05-19,117.04,118.5,114.79,115.38,32524129.96034
2026-05-20,115.69,116.9195,113.85,114.35,26154759.973837
2026-05-21,114.13,118.6,113.57,118.2,22695628.588402
2026-05-22,118.455,120.79,117.68,120.41,22237164.327134
2026-05-26,120.54,120.77,117.095,118.33,26607165.300368
2026-05-27,117.94,120.39,116.77,119.67,21712603.868596
2026-05-28,120.53,120.72,117.96,118.64,20631316.35296
2026-05-29,117.82,121.43,117.0083,120.42,42179257.762675
2026-06-01,119.8,121.95,118.3,121.33,23966809.238449
2026-06-02,122.49,128.22,122.49,128.0,26763772.959813
2026-06-03,126.16,129.4155,124.915,126.5,29972466.798435
2026-06-04,126.06,130.3656,124.144,130.0,23339462.183842
2026-06-05,128.66,128.84,121.55,121.64,33169341.897711
2026-06-08,123.56,126.435,122.0,124.15,24288219.589199
2026-06-09,123.26,124.22,117.1,120.36,22744082.655716
2026-06-10,119.72,120.95,118.36,118.8,19740402.436606
2026-06-11,117.182,122.55,116.5,121.83,24624119.221631
