# LEADERSHIP TRADE BAR DATA
# trade_id     : 8978
# symbol       : NI
# entry_date   : 2026-02-13
# exit_date    : 2026-03-20
# entry_price  : 45.17
# exit_price   : 45.43
# profit_pct   : 0.00575603
# realized_pnl : 6.5
# shares       : 25
# exit_reason  : Stop Loss (Original Stop)
# bar_window   : 30d before entry → 30d after exit
# total_bars   : 65
#
date,open,high,low,close,volume
2026-01-14,42.56,43.35,42.35,43.31,3098173.0
2026-01-15,43.49,43.735,43.27,43.53,4084794.0
2026-01-16,43.27,44.115,43.25,43.93,4455925.0
2026-01-20,43.93,44.095,43.32,43.4,6221552.0
2026-01-21,43.78,43.9,43.09,43.79,6957595.0
2026-01-22,43.91,44.029,43.27,43.52,3740834.0
2026-01-23,43.53,43.6,42.91,43.41,2633020.0
2026-01-26,43.64,44.08,43.58,43.91,2934306.0
2026-01-27,43.94,44.5935,43.75,44.39,3481508.0
2026-01-28,44.43,44.67,44.215,44.33,4950076.0
2026-01-29,44.67,44.95,44.16,44.65,4388665.0
2026-01-30,44.57,44.68,43.81,44.29,4945136.0
2026-02-02,44.42,44.785,43.93,44.03,4695805.0
2026-02-03,43.77,44.39,43.75,43.96,6061250.0
2026-02-04,44.22,44.5,43.855,44.03,7895843.0
2026-02-05,44.06,44.34,43.655,43.93,3327993.0
2026-02-06,44.35,44.53,43.405,44.1,3742837.0
2026-02-09,44.04,44.5,43.675,44.45,4887799.0
2026-02-10,44.6,44.995,44.285,44.73,6151148.0
2026-02-11,45.22,45.62,44.625,44.66,6876766.0
2026-02-12,45.12,45.76,44.61,45.18,6322884.0
2026-02-13,45.09,46.4,44.905,46.36,6190696.0
2026-02-17,46.78,47.0487,46.55,46.71,4248746.0
2026-02-18,46.63,46.68,45.23,45.3,3847767.0
2026-02-19,45.3,45.855,45.3,45.82,2873082.0
2026-02-20,46.03,46.38,45.54,46.37,2862999.0
2026-02-23,46.58,46.94,46.055,46.2,2794123.449165
2026-02-24,46.1,46.7,45.7,46.42,5336804.322822
2026-02-25,46.46,46.77,45.68,46.53,5730801.249183
2026-02-26,46.57,46.91,46.49,46.7,4999164.275049
2026-02-27,46.71,47.35,46.59,47.3,4282121.113071
2026-03-02,47.0,47.615,46.61,47.05,4586628.109936
2026-03-03,46.47,47.04,45.63,46.74,3910902.310577
2026-03-04,46.69,47.67,46.555,47.56,4458943.282633
2026-03-05,47.21,47.47,46.53,47.04,3356750.35511
2026-03-06,46.66,46.86,46.02,46.46,4086293.67832
2026-03-09,46.22,47.195,45.875,47.03,5037100.581091
2026-03-10,46.9,47.18,46.47,46.57,3800366.881789
2026-03-11,46.4,46.705,46.175,46.26,2820588.181077
2026-03-12,46.22,47.16,45.97,46.69,3606419.59409
2026-03-13,47.26,47.7,47.18,47.39,3458870.603113
2026-03-16,47.88,47.9581,47.4,47.47,2197717.747239
2026-03-17,47.74,47.755,47.25,47.26,2228798.418684
2026-03-18,47.1,47.1,46.47,46.62,2691693.737116
2026-03-19,46.42,46.93,46.23,46.69,2445031.636016
2026-03-20,46.67,46.83,44.67,45.02,5940732.793384
2026-03-23,46.15,46.15,45.35,45.47,2447992.328323
2026-03-24,45.16,46.09,45.12,45.68,3603524.697772
2026-03-25,46.06,46.205,45.51,45.68,2171142.976114
2026-03-26,45.46,45.85,45.36,45.44,2711270.290621
2026-03-27,45.37,46.41,45.14,45.97,4288710.34432
2026-03-30,46.84,46.89,46.24,46.5,2925431.596332
2026-03-31,46.64,46.97,46.16,46.66,4802690.537047
2026-04-01,46.58,47.245,46.43,46.9,2322569.489079
2026-04-02,46.91,47.515,46.72,47.49,1982594.787529
2026-04-06,47.25,47.52,47.08,47.14,2016455.761971
2026-04-07,47.1,47.785,46.96,47.65,3546355.46227
2026-04-08,47.57,48.14,47.31,48.1,3240855.154863
2026-04-09,48.07,48.76,48.05,48.47,3703728.512549
2026-04-10,48.37,48.63,47.885,48.05,3146785.255678
2026-04-13,47.95,48.015,46.9,47.19,2964889.666596
2026-04-14,47.11,47.365,46.7,47.22,4517388.344314
2026-04-15,47.04,47.625,46.75,47.37,5035804.812207
2026-04-16,47.29,47.785,46.99,47.72,4100709.924934
2026-04-17,48.565,48.83,47.82,48.31,9707681.425266
